Name,Role,TP,SZ,TMM,Speed,OV,S,M,L,Armor,Structure,Special,Skill
Heavy Emplacement,,BD,6,0,0,0,2,2,0,6,6,“CF:6_AC2/2/0_IMMOBILE”,4
Heavy Emplacement,,BD,6,0,0,0,2,2,0,6,6,“CF:6_AC2/2/0_IMMOBILE”,4
Howler 6,Scout,BM,1,3,14,0,2,2,0,2,2,“CASEII_SRM2/2_TUR[2/2/-_SRM2/2]”,3
Bane 5,Juggernaut,BM,4,1,6,1,5,5,5,10,5,“CASEII_ECM_IF1_LRM1/1/1_OVL”,3
Locust IIC 4,Striker,BM,1,3,16,0,5,1,0,3,2,“ENE”,3
Summoner H,Skirmisher,BM,3,2,10j,0,5,5,0,6,4,“AMS_CASE_OMNI”,3
Clan Foot Point,Ambusher[Infantry],CI,1,0,2f,0,1,1,0,3,1,“AM_CAR3”,3
Clan Foot Point,Ambusher[Infantry],CI,1,0,2f,0,1,1,0,3,1,“AM_CAR3”,3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Marauder IIC 6,Skirmisher[JMPS],BM,4,1,8/12j,1,4,5,3,7,5,“CASE_FLK1/1/1_JMPS1”,3
Summoner A,Sniper,BM,3,2,10j,0,3,4,3,6,4,“CASE_OMNI”,3
Medium Emplacement,,BD,4,0,0,0,1,1,1,4,4,“CF:4_AC1/1/1_IMMOBILE”,4
Elemental Squad,Ambusher[Infantry],BA,1,1,6j,0,2,2,0,2,2,“AM_CAR5_MEC”,3
Rifleman C2,Skirmisher[JMPS],BM,3,2,12/18j,1,3,3,2,6,3,“CASE_JMPS1”,3
Thunderbolt IIC 2,Brawler,BM,3,1,8j,2,4,4,2,7,6,“CASE_ECM”,3
Fulcrum Heavy Hovertank,Striker[Hover],CV,2,4,20h,0,2,2,1,5,3,“ECM_IF1_SRCH_TAG_TUR[2/2/1_IF1]”,3
Marauder IIC 10,Skirmisher[JMPS],BM,4,1,8/12j,1,6,6,4,7,5,“ENE_JMPS1”,2
Howler,Scout,BM,1,3,14,0,1,1,1,2,2,“CASE_IF1”,3
Rifleman C3,Sniper,BM,3,1,8,1,4,4,4,6,5,“CASE”,3
Thunderbolt IIC,Brawler,BM,3,2,10j,2,5,5,2,7,4,“CASEII”,3
Bane 3,Missile Boat,BM,4,1,6,0,8,8,8,10,5,“CASE_IF7_LRM7/7/7”,3
Locust IIC,Striker,BM,1,3,16,0,5,5,0,3,2,“ENE”,3
Fulcrum Heavy Hovertank II,Striker[Hover],CV,2,4,20h,0,3,3,1,5,3,“ECM_IF1_SRCH_TAG_TUR[3/3/1_IF1]”,3
