Name,Role,TP,SZ,TMM,Speed,OV,S,M,L,Armor,Structure,Special,Skill
Rifleman C2,Skirmisher[JMPS],BM,3,2,12/18j,1,3,3,2,6,3,“CASE_JMPS1”,3
Marauder IIC 6,Skirmisher[JMPS],BM,4,1,8/12j,1,4,5,3,7,5,“CASE_FLK1/1/1_JMPS1”,3
Summoner H,Skirmisher,BM,3,2,10j,0,5,5,0,6,4,“AMS_CASE_OMNI”,3
Locust IIC,Striker,BM,1,3,16,0,5,5,0,3,2,“ENE”,3
Howler 6,Scout,BM,1,3,14,0,2,2,0,2,2,“CASEII_SRM2/2_TUR[2/2/-_SRM2/2]”,3
Clan Foot Point,Ambusher[Infantry],CI,1,0,2f,0,1,1,0,3,1,“AM_CAR3”,3
Clan Foot Point,Ambusher[Infantry],CI,1,0,2f,0,1,1,0,3,1,“AM_CAR3”,3
Clan Foot Point,Ambusher[Infantry],CI,1,0,2f,0,1,1,0,3,1,“AM_CAR3”,3
Clan Foot Point,Ambusher[Infantry],CI,1,0,2f,0,1,1,0,3,1,“AM_CAR3”,3
Clan Foot Point,Ambusher[Infantry],CI,1,0,2f,0,1,1,0,3,1,“AM_CAR3”,3
